Anho,Ciclo,Idalumno,Cod.Car.Sec,Avandono,CantidadMaterias
2016,2,1011,CIV-PLS13 ,0,5
2017,2,1011,CIV-PLS13 ,0,3
2021,2,1011,CGF-PLS13 ,0,8
2022,1,1011,CGF-PLS13 ,0,8
2021,2,1012,CIV-PLS13 ,1,6
2022,2,1012,CIV-PLS13 ,1,2
2017,2,1015,CIV-PLS13 ,0,4
2018,1,1015,CIV-PLS13 ,0,7
2016,2,1024,ECA-PLS13 ,0,5
2017,2,1024,CIV-PLS13 ,1,5
2018,1,1024,CIV-PLS13 ,0,5
2018,2,1024,CIV-PLS13 ,1,5
2019,2,1024,CIV-PLS13 ,0,4
2020,1,1024,CIV-PLS13 ,0,5
2016,2,1026,MCT-PLS13 ,0,5
2021,1,1029,CIV-PLS13 ,1,6
2021,2,1029,CIV-PLS13 ,1,5
2019,2,1032,MEC-PLS13 ,1,4
2021,1,1032,MEC-PLS13 ,0,8
2018,2,1034,IND-PLS13 ,0,3
2016,2,1041,IND-PLS13 ,0,5
2018,2,1043,CIV-PLS13 ,1,6
2019,1,1043,CIV-PLS13 ,0,7
2016,2,1044,ECA-PLS13 ,0,7
2021,2,1045,CIV-PLS13 ,1,3
2022,1,1045,CIV-PLS13 ,1,3
2022,2,1045,CIV-PLS13 ,1,3
2017,2,1049,ELE-PLS13 ,0,6
2018,1,1049,ELE-PLS13 ,1,5
2018,2,1049,ELE-PLS13 ,1,5
2019,2,1049,ELE-PLS13 ,0,5
2017,2,1050,MCT-PLS13 ,0,4
2018,1,1050,MCT-PLS13 ,0,7
2018,2,1050,MCT-PLS13 ,0,5
2019,1,1050,MCT-PLS13 ,0,4
2019,2,1050,MCT-PLS13 ,0,6
2016,2,1051,MCT-PLS13 ,0,5
2021,2,1053,CIV-PLS13 ,0,5
2022,1,1053,CIV-PLS13 ,0,5
2022,2,1053,CIV-PLS13 ,0,4
2016,2,1054,CIV-PLS13 ,1,5
2022,1,1055,CIV-PLS13 ,0,3
2016,2,1056,CIV-PLS13 ,0,5
2016,2,1057,CIV-PLS13 ,0,5
2017,2,1058,IND-PLS13 ,0,4
2016,2,1060,IND-PLS13 ,0,5
2016,2,1063,ELE-PLS13 ,0,5
2017,2,1063,ELE-PLS13 ,0,5
2016,2,1067,CIV-PLS13 ,0,4
2017,2,1067,CIV-PLS13 ,0,6
2018,1,1067,CIV-PLS13 ,0,5
2018,2,1067,CIV-PLS13 ,1,6
2019,1,1067,CIV-PLS13 ,1,7
2016,2,1068,ELE-PLS13 ,0,6
2016,2,1073,ELE-PLS13 ,0,5
2017,2,1073,ELE-PLS13 ,0,6
2018,2,1074,ELE-PLS13 ,1,5
2019,2,1074,ELE-PLS13 ,0,5
2020,1,1074,ELE-PLS13 ,0,5
2021,1,1074,ELE-PLS13 ,0,6
2016,2,1075,CIV-PLS13 ,0,6
2017,2,1077,ELE-PLS13 ,0,5
2018,1,1077,ELE-PLS13 ,1,5
2018,2,1077,ELE-PLS13 ,0,6
2017,2,1080,MEC-PLS13 ,0,6
2017,2,1081,IND-PLS13 ,0,2
2017,2,1083,MEC-PLS13 ,0,5
2018,1,1083,MEC-PLS13 ,1,5
2016,2,1084,CIV-PLS13 ,0,6
2017,2,1088,MCT-PLS13 ,0,5
2017,2,1089,MCT-PLS13 ,0,5
2017,2,1092,ELE-PLS13 ,0,3
2018,2,1092,ELE-PLS13 ,1,3
2019,2,1092,ELE-PLS13 ,0,5
2016,2,1095,ELE-PLS13 ,0,5
2017,2,1096,MCT-PLS13 ,0,6
2018,1,1096,MCT-PLS13 ,0,5
2017,2,1097,MCT-PLS13 ,1,4
2018,1,1097,MCT-PLS13 ,1,6
2018,2,1097,MCT-PLS13 ,1,5
2019,1,1097,MCT-PLS13 ,1,7
2019,2,1097,MCT-PLS13 ,0,5
2020,1,1097,MCT-PLS13 ,1,6
2021,1,1097,MCT-PLS13 ,0,8
2021,2,1097,MCT-PLS13 ,0,6
2017,2,1098,CGF-PLS13 ,0,5
2017,2,1103,CIV-PLS13 ,0,5
2019,1,1103,ELE-PLS13 ,0,4
2017,2,1105,CIV-PLS13 ,1,3
2018,2,1105,CIV-PLS13 ,0,6
2022,2,1106,ELE-PLS13 ,1,3
2022,2,1107,IND-PLS13 ,1,4
2017,2,1108,CIV-PLS13 ,1,6
2022,1,1108,CIV-PLS13 ,0,5
2016,2,1112,CIV-PLS13 ,0,6
2016,2,1113,ELE-PLS13 ,0,4
2017,2,1113,ELE-PLS13 ,0,5
2018,1,1113,ELE-PLS13 ,0,6
2017,2,1116,MCT-PLS13 ,0,7
2018,1,1116,MCT-PLS13 ,0,5
2016,2,1117,ECA-PLS13 ,0,5
2018,2,1121,MEC-PLS13 ,0,5
2019,1,1121,MEC-PLS13 ,0,7
2017,2,1124,IND-PLS13 ,0,5
2018,1,1124,IND-PLS13 ,0,5
2021,2,1125,IND-PLS13 ,1,5
2022,1,1125,IND-PLS13 ,0,4
2017,2,1127,CIV-PLS13 ,0,6
2018,1,1127,CIV-PLS13 ,0,7
2018,2,1127,CIV-PLS13 ,0,5
2016,2,1131,CIV-PLS13 ,0,4
2017,2,1131,CIV-PLS13 ,0,3
2017,2,1133,CIV-PLS13 ,0,5
2017,2,1134,CIV-PLS13 ,0,6
2021,2,1135,MEC-PLS13 ,1,7
2022,1,1135,MEC-PLS13 ,0,5
2022,2,1135,CGF-PLS13 ,1,5
2016,2,1137,MCT-PLS13 ,0,5
2016,2,1138,CIV-PLS13 ,0,7
2016,2,1140,ECA-PLS13 ,0,6
2017,2,1140,ECA-PLS13 ,0,7
2016,2,1141,ECA-PLS13 ,0,5
2019,2,1143,CIV-PLS13 ,0,5
2020,1,1143,CIV-PLS13 ,0,3
2017,2,1144,CIV-PLS13 ,0,4
2018,2,1144,CGF-PLS13 ,0,7
2017,2,1145,CIV-PLS13 ,0,6
2018,1,1145,CIV-PLS13 ,0,6
2021,1,1146,CIV-PLS13 ,1,8
2022,1,1146,CGF-PLS13 ,0,7
2022,2,1146,CGF-PLS13 ,0,7
2016,2,1147,MCT-PLS13 ,0,5
2017,2,1148,CIV-PLS13 ,0,6
2016,2,1149,ELE-PLS13 ,0,5
2017,2,1150,MEC-PLS13 ,0,6
2016,2,1152,CIV-PLS13 ,0,6
2016,2,1154,CIV-PLS13 ,0,6
2017,2,1154,CIV-PLS13 ,0,4
